Title, Category, Opinions
"Gen. Mirosław Różański odpowiada na słowa Antoniego Macierewicza: Jest mi żal tego człowieka","Polityka","0"
"Dyrektor CKE o egzaminach maturalnych: Ustawa jest bezlitosna. Do matury przystępuje absolwent","Polityka","0"
"Andrzej Rosiewicz wystartuje do europarlamentu z listy Polska Fair Play. ""Uczciwy i ceniony""","Polityka","0"
"Patryk Jaki o pensjach nauczycieli: 8100 złotych to nie jest mało. Propozycja rządu jest dobra","Polityka","0"
"Sondaż CBOS. Kto wygrałby wybory parlamentarne? PiS i koalicjanci ze zdecydowaną przewagą","Polityka","0"
"Przesłuchanie Birgfellnera w placówce dyplomatycznej w Austrii? Giertych: Jest prześladowany","Polityka","0"
"Minister rolnictwa zabrał głos ws. ""Krowy+"". ""Dać nauczycielom? Trzeba być mało rozgarniętym""","Polityka","0"
"Dworczyk o ""radykalizacji"" strajku nauczycieli: Są napisy ""tylko świnie pilnują na egzaminie""","Polityka","0"
"Zenek Martyniuk zachęca do udziału w eurowyborach. Podał rękę kandydatowi KE, teraz się wycofuje","Polityka","0"
"""Rzeczpospolita"": Rozmowy o Fort Trump przyspieszają. Trumpa zaproszono do Polski na 1 września","Polityka","0"
"Jarosław Gowin o strajku nauczycieli: Doszliśmy do granic możliwości polskiego budżetu","Polityka","0"
"Marcin Kierwiński mówi o ""wyimaginowanym problemie"" PiS. Premiera nazywa ""dyplomowanym kłamcą""","Polityka","0"
"Kuchciński zaprzecza, jakoby został nagrany w agencji towarzyskiej. ""Nie ma w tym ziarna prawdy""","Polityka","0"
"Macierewicz chwali Bartłomieja M. ""Uniemożliwił działania na szkodę bezpieczeństwa państwa""","Polityka","0"
"Morawiecki apeluje do nauczycieli: Zawieście strajk na Wielki Tydzień. Potem okrągły stół","Polityka","0"
"PiS postanowił: strajk nauczycieli nie będzie tematem kampanii. I pyta Schetynę i KE o złotego","Polityka","0"
"Brudziński dementuje sugestie o ""opóźnianiu"" poszukiwań Falenty. ""Proszę dać spokój policjantom""","Polityka","0"
"Jest kolejny sondaż wyborczy: PiS z szansą na samodzielne rządy. Platforma Obywatelska daleko w tyle","Polityka","0"
"Cenckiewicz broni się przed zarzutami w związku ze sprawą gen. Janiszewskiego. ""To cudze grzechy""","Polityka","0"
"Kaczyński mówi o szczegółach dopłat na tuczniki. ""Wyśmiewać najłatwiej, jak się nie rozumie""","Polityka","0"
